N mushrooms,seconds,accuracy,,N Iris,seconds,accuracy,,N Diab,seconds,accuracy,,,N Diab,seconds,accuracy,,N Iris,seconds,accuracy
500,0.0095,1,,500,0.1016,0.87,,500,0.2257,0.92,,,500,0.2504,0.92,,500,0.0902,0.87
1000,0.0085,1,,1000,0.1368,0.94,,1000,0.3918,0.935,,,1000,0.4579,0.93,,1000,0.2125,0.94
1500,0.0391,1,,1500,0.164,0.95,,1500,0.4624,0.95,,,2000,0.649,0.965,,2000,0.2131,0.95
2000,0.1133,1,,2000,0.2014,0.95,,2000,0.5829,0.96,,,5000,1.7008,0.964,,5000,0.3128,0.92
2500,0.1028,1,,2500,0.1972,0.924,,2500,0.7964,0.97,,,10000,3.584,0.97,,10000,0.5174,0.9345
3000,0.0694,1,,3000,0.2519,0.9067,,3000,1.2877,0.96,,,15000,5.85,0.967,,15000,0.6851,0.9373
3500,0.0699,1,,3500,0.2554,0.92,,3500,1.8177,0.9686,,,20000,7.57,0.9718,,20000,0.7264,0.9403
4000,0.0393,1,,4000,0.3,0.9237,,4000,1.8344,0.9637,,,30000,11.05,0.9715,,30000,0.9771,0.9373
4500,0.1014,0.9989,,4500,0.2992,0.9222,,4500,1.57,0.9611,,,40000,16.95,0.968,,40000,1.3739,0.9445
5000,0.3087,1,,5000,0.2957,0.927,,5000,1.59,0.964,,,50000,23.23,0.9688,,50000,1.5,0.9378
5500,0.4872,1,,5500,0.3128,0.9255,,5500,1.67,0.9618,,,60000,29.74,0.9708,,60000,1.83,0.9407
6000,0.1707,1,,6000,0.3251,0.9308,,6000,2.01,0.9675,,,70000,37.04,0.9707,,70000,2.05,0.9379
6500,0.2523,1,,6500,0.3536,0.9469,,6500,2.36,0.9631,,,80000,44.8,0.9718,,80000,2.11,0.9394
7000,0.1852,1,,7000,0.3598,0.9343,,7000,2.5,0.965,,,90000,45.339,0.9712,,90000,2.36,0.9375
7500,0.1879,1,,7500,0.3715,0.9233,,7500,2.56,0.9607,,,100000,55.57,0.9715,,100000,2.611,0.939
8000,0.1952,1,,8000,0.4159,0.925,,8000,2.75,0.9744,,,,,,,,,
