Sample Size,Accuracy,Time (s)
500,0.91,0.004514217376708984
1000,0.955,0.006514787673950195
2000,0.9325,0.008005619049072266
5000,0.965,0.01975870132446289
10000,0.956,0.036287546157836914
15000,0.9473333333333334,0.05352377891540527
20000,0.95725,0.07235455513000488
30000,0.9563333333333334,0.1262366771697998
40000,0.949,0.18655633926391602
50000,0.9502,0.2863597869873047
60000,0.95125,0.31751036643981934
70000,0.9522857142857143,0.4055752754211426
80000,0.952,0.5502409934997559
90000,0.9521111111111111,0.6942508220672607
100000,0.95425,0.8697934150695801
